summoner name,game duration,win,champion,champion id,champion level,deaths,kills,assists,role,wards killed,wards placed,dragon kills,baron kills,damage dealt to objectives,damage dealt to turrets,turrets lost,turret kills,total minions killed,inhibitor takedowns,inhibitor kills
Cinqe,1222,0,Thresh,412,8,4,1,4,SUPPORT,2,5,0,0,0,0,5,0,21,0,0
SuperCarryGaeth,1222,1,Aatrox,266,13,3,5,3,NONE,1,7,0,0,4087,0,1,0,128,0,0
Xacaulia,1222,1,Graves,104,12,6,9,7,NONE,0,3,1,0,21309,697,1,1,21,1,0
sajator696969,1222,1,Jayce,126,13,2,5,10,SOLO,4,9,0,0,4428,3680,1,0,156,1,0
L4 zamulek,1222,1,Kaisa,145,11,3,7,7,NONE,0,6,1,0,11334,4762,1,2,155,1,0
Chapter 4,1222,1,Soraka,16,11,0,3,12,SOLO,5,20,0,0,2507,2381,1,2,31,1,1
Satorius 1v9,1135,1,Aatrox,266,13,1,6,8,SUPPORT,1,6,0,0,3035,3035,0,1,159,0,0
NO BYSTANDERS9,1135,1,Viego,234,12,3,10,8,SUPPORT,0,10,2,0,25135,2053,0,1,28,0,0
G2 Yahaba,1135,1,Leblanc,7,14,2,10,3,SUPPORT,3,4,0,0,2835,2835,0,1,176,0,0
Vizzpers4,1135,1,Aphelios,523,11,3,3,4,SUPPORT,2,6,0,0,3508,3508,0,2,134,0,0
D For Flash,1135,1,Pyke,555,8,6,4,9,SUPPORT,4,25,0,0,422,422,0,0,29,0,0
dating cookielol,1135,0,Kayn,141,10,7,2,3,SUPPORT,0,6,0,0,0,0,5,0,96,0,0
TTV NattyNattLoL,1135,0,Hecarim,120,10,7,5,2,SUPPORT,3,1,0,0,8990,0,5,0,8,0,0
crοssman,1135,0,Lissandra,127,11,7,0,5,SUPPORT,0,7,0,0,0,0,5,0,118,0,0
Infinite Mage,1135,0,Lucian,236,11,8,5,2,DUO,5,3,0,0,5291,2250,5,0,162,0,0
Chapter 4,1135,0,Rakan,497,9,4,3,9,SUPPORT,3,20,0,0,213,213,5,0,37,0,0
SotF Kelvin,1287,0,Riven,92,12,7,4,1,NONE,3,4,0,0,2978,2978,7,1,154,0,0
lasttime33,1287,0,Zac,154,11,3,1,5,NONE,1,4,0,0,10994,183,7,1,15,0,0
blitza33,1287,0,Kassadin,38,13,5,2,2,SOLO,4,2,0,0,1086,1086,7,1,183,0,0
Maudridge,1287,0,Samira,360,11,8,3,0,CARRY,6,6,0,0,2896,744,7,0,167,0,0
Orgrim Doomhamer,1287,0,Rell,526,10,6,0,7,SUPPORT,8,19,0,0,313,313,7,0,39,0,0
Akimeris 3,1287,1,Shen,98,14,4,6,10,SOLO,1,8,0,0,4776,184,3,0,107,0,0
FA Warrior,1287,1,RekSai,421,13,1,5,11,NONE,2,3,3,1,26868,4934,3,2,40,0,0
c0cky movement,1287,1,Rumble,68,15,2,5,10,SOLO,2,9,0,0,3716,1760,3,1,204,0,0
Arima Kousěi ,1287,1,Kaisa,145,13,3,11,7,SOLO,0,8,0,0,29847,7136,3,4,158,0,0
Chapter 4,1287,1,Rakan,497,11,1,2,17,NONE,7,30,0,0,2531,1660,3,0,32,0,0
LFT Âxelion,1733,0,Aatrox,266,14,9,2,5,SOLO,1,9,0,0,2062,0,10,0,175,0,0
CrÃzY,1733,0,Nidalee,76,14,7,3,1,NONE,7,11,0,0,35547,2921,10,2,49,0,0
785 917,1733,0,Talon,91,15,4,5,0,SOLO,2,2,1,0,8778,601,10,0,207,0,0
Wexillon,1733,0,Ashe,22,14,5,2,3,CARRY,3,8,0,0,943,178,10,0,225,0,0
apocalypse662,1733,0,Janna,40,12,5,0,6,SUPPORT,10,23,0,0,426,0,10,0,22,0,0
SotF Kelvin,1733,1,Riven,92,16,6,5,5,SOLO,2,5,0,0,4499,4182,2,2,196,0,0
Trzeźwy nie gram,1733,1,Khazix,121,17,0,14,3,NONE,2,5,3,1,37743,1409,2,1,33,0,0
CEO OF EVALUNNA,1733,1,Ahri,103,17,2,5,7,SOLO,1,2,0,0,5875,4707,2,2,257,1,0
Arima Kousěi ,1733,1,Kaisa,145,16,1,5,10,CARRY,3,12,0,0,17780,6830,2,3,260,2,2
Chapter 4,1733,1,Rakan,497,14,3,1,19,SUPPORT,5,45,0,0,2220,1390,2,1,33,2,0
Coatpustmain,1483,0,Sion,14,13,5,0,1,SOLO,1,6,0,0,2412,2412,10,0,157,0,0
interenn,1483,0,Vi,254,13,4,5,4,NONE,5,10,0,0,7480,0,10,0,24,0,0
TheAfricanDream,1483,0,Swain,50,13,5,1,3,SOLO,1,6,0,0,95,95,10,0,160,0,0
Black Sabbath,1483,0,Draven,119,11,8,4,3,CARRY,2,7,0,0,2448,2448,10,1,196,0,0
Chapter 4,1483,0,Janna,40,11,1,3,8,SUPPORT,6,25,0,0,911,911,10,0,22,0,0
i am Shrimp,1483,1,KSante,897,14,1,2,9,NONE,2,7,0,0,7814,4945,1,0,167,1,0
MVXYREXBXK,1483,1,Khazix,121,15,2,7,10,NONE,3,4,3,1,45548,1636,1,2,17,2,0
stillnumb,1483,1,Ahri,103,14,5,6,7,SOLO,3,8,0,0,8433,6412,1,2,170,2,0
SCB Saxuralle,1483,1,Varus,110,13,3,5,3,CARRY,1,7,0,0,18854,7580,1,5,189,2,2
Ziqmo0,1483,1,Karma,43,12,2,2,17,SUPPORT,5,35,0,0,4409,1560,1,1,23,2,0
Nemo me impune,2071,1,Vladimir,8,17,4,2,13,SOLO,3,10,0,0,2083,267,7,0,229,0,0
Kizna14,2071,1,Rengar,107,18,6,10,3,NONE,8,3,1,1,40025,5705,7,3,38,1,0
SCB Saxuralle,2071,1,Kaisa,145,18,3,13,7,SOLO,7,10,1,0,19053,3928,7,1,328,1,0
Mirbs,2071,1,Aphelios,523,16,8,2,6,CARRY,10,18,0,0,19300,10938,7,6,249,1,1
sindrelolpro2345,2071,1,Senna,235,15,9,3,16,SUPPORT,21,41,0,0,3110,2226,7,1,35,1,0
XchatLakCocUqX,2071,0,Kennen,85,17,6,3,5,SOLO,2,13,0,0,6420,3415,7,2,257,1,0
lyncas good kid,2071,0,Kindred,203,16,5,8,12,NONE,11,8,2,1,48433,4815,7,1,27,1,0
XDXDXDXDDXDDD,2071,0,Azir,268,18,7,2,10,SOLO,2,12,1,0,19483,4602,7,2,263,1,1
Drugdar,2071,0,Ezreal,81,16,7,12,7,CARRY,7,6,0,0,13919,3900,7,2,225,0,0
Chapter 4,2071,0,Rakan,497,14,5,5,17,SUPPORT,9,57,0,0,1407,324,7,0,37,1,0
Ushuala,1829,0,Maokai,57,15,7,4,8,SOLO,1,9,0,0,4296,1143,10,0,147,0,0
jgl303,1829,0,Nocturne,56,15,9,4,12,NONE,4,9,2,0,44030,84,10,0,34,0,0
Manhattan21,1829,0,Kaisa,145,17,8,14,8,SOLO,2,14,0,0,24019,11764,10,5,262,0,0
DK Noobmaker,1829,0,Varus,110,16,5,8,7,CARRY,6,6,0,0,10526,2975,10,1,241,0,0
Chapter 4,1829,0,Rakan,497,14,5,6,22,SUPPORT,8,51,0,0,793,59,10,0,39,0,0
Twilight Aspect,1829,1,Zoe,142,16,5,3,6,SOLO,1,13,0,0,7669,7669,6,3,246,2,2
Gentle Mates,1829,1,Lillia,876,18,3,19,7,NONE,4,5,2,0,27086,5124,6,2,61,1,0
Being left,1829,1,Irelia,39,17,6,5,11,SOLO,4,14,0,0,15946,6489,6,4,260,0,0
BEwTO v13,1829,1,MissFortune,21,15,10,3,11,CARRY,2,13,0,1,11930,1944,6,1,149,1,0
marlon xoxo,1829,1,Senna,235,13,12,4,13,SUPPORT,11,36,0,0,3676,1709,6,0,28,0,0
TypicaI,1173,1,KSante,897,14,1,7,2,SUPPORT,0,7,0,0,6076,6076,1,0,169,0,0
swr,1173,1,Khazix,121,12,1,3,2,SUPPORT,4,3,1,0,28860,335,1,1,11,0,0
Chaewøn,1173,1,Kaisa,145,13,2,6,2,SUPPORT,1,4,0,0,3914,3914,1,4,171,0,0
yagsοg,1173,1,Aphelios,523,12,4,8,4,SUPPORT,1,7,0,0,9106,9106,1,0,177,0,0
JeongHoon,1173,1,Lulu,117,10,1,1,13,SUPPORT,1,18,0,0,1374,1374,1,2,4,0,0
AlonsoQuixano,1173,0,Nunu,20,9,9,1,2,SUPPORT,2,3,1,0,10032,0,7,0,6,0,0
BEwTO v13,1173,0,Poppy,78,11,5,1,2,SUPPORT,0,6,0,0,1269,1269,7,0,102,0,0
jojopyun fan1,1173,0,Azir,268,13,3,3,0,DUO,0,6,0,0,2988,2436,7,1,166,0,0
Adrian Kruk,1173,0,Lucian,236,10,5,3,1,SUPPORT,3,6,0,0,598,598,7,0,148,0,0
Chapter 4,1173,0,Nami,267,9,3,1,4,SUPPORT,4,18,0,0,247,165,7,0,4,0,0
Rank 1 Reksai,1136,0,Rumble,68,10,5,2,2,DUO,2,7,0,0,559,407,9,0,112,0,0
swr,1136,0,Kindred,203,11,5,6,1,SUPPORT,2,4,0,0,8212,5651,9,1,46,0,0
Opossos,1136,0,Kennen,85,11,5,1,2,SUPPORT,0,7,0,0,731,547,9,0,120,0,0
AlonsoQuixano,1136,0,Aphelios,523,8,9,0,1,SUPPORT,0,3,0,0,2541,2541,9,0,67,0,0
Kronisk Skeptisk,1136,0,Milio,902,9,2,0,5,SUPPORT,2,14,0,0,116,116,9,0,13,0,0
SS XD,1136,1,JarvanIV,59,12,2,4,5,SUPPORT,1,6,0,0,4352,4352,1,1,142,1,0
nicolaiy2,1136,1,Viego,234,12,0,14,4,SUPPORT,5,6,2,0,35170,2162,1,3,28,1,1
Jo Jin hyeong,1136,1,Kaisa,145,12,5,2,9,SUPPORT,0,6,0,0,5006,5006,1,2,145,1,0
SCB Saxuralle,1136,1,Twitch,29,10,1,5,4,SUPPORT,1,6,0,0,5470,4964,1,2,140,2,1
Chapter 4,1136,1,Lulu,117,9,1,1,11,SUPPORT,4,12,0,0,2009,1965,1,0,13,2,0
PokéMart,1400,0,Malphite,54,14,2,4,3,SOLO,0,9,0,0,2154,2154,10,1,144,0,0
king of adelaide,1400,0,JarvanIV,59,13,8,5,4,NONE,0,4,0,0,18419,0,10,0,30,0,0
tlustejsmrad420,1400,0,Sylas,517,13,9,3,4,SOLO,0,6,0,0,1134,945,10,1,127,0,0
minemaciek,1400,0,Lucian,236,11,4,2,2,CARRY,2,10,0,0,4690,0,10,0,162,0,0
Chapter 4,1400,0,Nami,267,12,6,2,8,SUPPORT,2,20,0,0,226,226,10,0,13,0,0
SS XD,1400,1,Illaoi,420,14,6,3,6,SOLO,0,5,0,0,8127,8127,2,3,177,0,0
마왕,1400,1,RekSai,421,15,1,16,6,NONE,6,3,3,1,40440,697,2,0,40,2,0
Po Gap,1400,1,Ahri,103,14,5,6,10,SOLO,2,5,0,0,2890,714,2,0,151,2,1
Kenal,1400,1,Aphelios,523,12,4,3,7,CARRY,6,7,0,0,16286,10588,2,6,181,1,1
AluTec 1098,1400,1,Milio,902,12,0,1,16,SUPPORT,7,23,0,0,4125,2708,2,1,11,1,0
WhiteKnight108,1345,1,Kennen,85,14,3,2,7,SOLO,3,8,0,0,9038,4674,0,1,184,0,0
FA 05 JG,1345,1,MonkeyKing,62,14,0,6,5,NONE,2,5,2,1,37550,4061,0,4,24,1,0
Szygenda,1345,1,Akali,84,15,3,8,5,SOLO,1,7,0,0,2502,2298,0,1,195,1,1
Jesklaa,1345,1,Aphelios,523,13,6,7,6,CARRY,3,9,0,0,19174,7011,0,2,177,1,0
LeoNaut Phobia,1345,1,Rell,526,11,4,3,12,SUPPORT,0,22,0,0,2067,592,0,0,22,1,0
SS XD,1345,0,Malphite,54,13,2,2,5,SOLO,3,7,0,0,144,0,9,0,155,0,0
AHaHaCiK,1345,0,Khazix,121,11,7,3,5,NONE,10,14,1,0,11886,0,9,0,37,0,0
S P L A S H 777,1345,0,Tristana,18,12,10,4,3,SOLO,2,6,0,0,79,79,9,0,121,0,0
DIA SHC,1345,0,Xayah,498,11,6,7,4,CARRY,3,7,0,0,1801,393,9,0,172,0,0
Chapter 4,1345,0,Milio,902,11,1,0,13,SUPPORT,2,24,0,0,3980,145,9,0,15,0,0
SS XD,2583,1,Varus,110,18,14,6,10,NONE,4,12,0,0,25193,7184,4,4,304,3,0
XnS Sama,2583,1,LeeSin,64,18,6,21,15,NONE,4,25,3,1,49898,745,4,0,53,3,0
XDXDXDXDDXDDD,2583,1,Azir,268,18,10,7,18,SOLO,6,13,1,1,27588,4464,4,1,241,2,2
Andolos,2583,1,Lucian,236,18,5,13,18,CARRY,6,17,0,0,42242,7776,4,3,245,3,1
Chapter 4,2583,1,Milio,902,17,3,2,38,SUPPORT,19,52,0,0,4887,3025,4,1,32,3,0
17 03 2024,2583,0,Gragas,79,18,10,5,16,SOLO,4,16,1,0,8631,2138,11,1,226,0,0
KVIHNLCM,2583,0,MonkeyKing,62,17,13,6,11,NONE,11,13,0,0,28273,0,11,0,50,0,0
Captain AmerEika,2583,0,Leblanc,7,18,9,19,7,SOLO,12,5,0,0,7229,4214,11,1,384,0,0
424PHL,2583,0,Seraphine,147,18,8,8,19,CARRY,7,19,0,0,9774,1856,11,1,270,0,0
Virdemis,2583,0,Sona,37,16,9,0,31,SUPPORT,16,40,0,0,2189,146,11,1,24,0,0
Daisy Lesa,1788,1,Olaf,2,17,4,14,2,DUO,7,8,1,0,20179,14361,2,8,241,1,1
qwqw,1788,1,Teemo,17,14,7,2,8,DUO,3,9,0,0,11161,1895,2,0,174,0,0
ismααα,1788,1,Vi,254,14,4,4,9,NONE,11,8,1,0,13199,369,2,0,20,0,0
thtsbs,1788,1,Lucian,236,13,5,6,5,CARRY,11,11,0,0,7806,1496,2,0,237,0,0
Chapter 4,1788,1,Milio,902,12,3,0,16,SUPPORT,9,42,0,0,1411,954,2,0,13,0,0
Vizícsacsi,1788,0,Poppy,78,15,9,0,10,SOLO,5,15,0,0,1899,1591,8,1,156,0,0
Lesser life form,1788,0,Viego,234,15,4,6,9,NONE,3,13,2,2,53693,699,8,1,52,0,0
swr,1788,0,Jinx,222,15,4,6,3,CARRY,6,9,0,0,23052,330,8,0,194,0,0
mag1cian 1504,1788,0,Syndra,134,17,4,9,6,SOLO,3,12,0,0,9306,1401,8,0,248,0,0
Obstinatus,1788,0,Nautilus,111,12,5,2,9,SUPPORT,10,42,0,0,1902,0,8,0,39,0,0
RobertBrännström,1354,0,Gnar,150,13,10,2,5,SOLO,0,5,0,0,4865,3569,10,1,128,0,0
Polkα,1354,0,Karthus,30,13,8,4,9,NONE,1,5,0,1,6998,0,10,0,41,0,0
Bichito Power,1354,0,Kaisa,145,14,8,10,4,SOLO,2,6,0,0,6238,384,10,0,185,0,0
Kwon Jae Kyu8,1354,0,Varus,110,12,9,2,4,CARRY,0,6,0,0,1177,0,10,0,136,0,0
Raïtö,1354,0,Rell,526,11,8,3,9,SUPPORT,4,21,0,0,0,0,10,0,24,0,0
Drututts Lisp ,1354,1,Akshan,166,15,6,9,0,DUO,1,5,0,0,7206,6398,1,3,171,0,0
snail xD,1354,1,Kindred,203,14,4,8,13,NONE,1,7,2,0,38500,3269,1,0,32,1,0
NUC Rosehan,1354,1,Neeko,518,14,4,10,7,DUO,1,7,0,0,3800,1697,1,0,131,1,1
EUSEUSEUS,1354,1,Aphelios,523,14,4,15,9,CARRY,1,6,0,0,10187,10187,1,6,192,2,1
Chapter 4,1354,1,Milio,902,12,3,1,23,SUPPORT,8,24,0,0,1473,1473,1,0,18,2,0
RobertBrännström,1535,1,Kennen,85,17,3,18,7,NONE,4,6,0,0,14275,4942,5,2,180,1,0
Sriffow,1535,1,RekSai,421,14,9,10,6,NONE,4,3,3,0,30036,392,5,1,18,0,0
Molnigt,1535,1,Yasuo,157,16,4,5,12,SOLO,0,10,0,0,13185,6148,5,3,223,1,1
hellcat13,1535,1,Kalista,429,14,5,5,10,CARRY,7,9,1,1,28957,7571,5,4,190,1,0
K4NTERA,1535,1,Rell,526,13,3,1,21,SUPPORT,10,27,0,0,5111,486,5,0,34,1,0
TTV H0rnlime,1535,0,Warwick,19,13,11,4,1,SOLO,1,7,0,0,2675,2675,10,1,128,0,0
SMSMSM,1535,0,LeeSin,64,14,10,10,7,NONE,2,11,0,0,18721,0,10,1,26,0,0
Konaern,1535,0,Ahri,103,15,6,4,5,SOLO,3,9,0,0,6659,1903,10,1,205,0,0
gimme resources,1535,0,Jinx,222,12,7,3,9,CARRY,4,11,0,0,7679,7409,10,2,174,0,0
Chapter 4,1535,0,Braum,201,11,5,3,13,SUPPORT,4,29,0,0,138,0,10,0,32,0,0
pedro jose,1156,1,Kennen,85,13,1,4,1,SUPPORT,2,6,0,0,3493,3493,2,1,161,0,0
Sriffow,1156,1,RekSai,421,13,2,10,10,SUPPORT,5,2,3,0,40762,693,2,3,17,0,0
IWILLC0NQUER,1156,1,Ahri,103,13,1,5,9,DUO,2,12,0,0,5299,4634,2,1,189,0,0
0liver Queen,1156,1,Draven,119,10,4,2,4,SUPPORT,1,5,0,0,11552,3571,2,1,128,0,0
Chapter 4,1156,1,Nami,267,10,3,0,11,SUPPORT,3,15,0,0,1564,796,2,0,13,0,0
RobertBrännström,1156,0,Gragas,79,13,3,2,0,SUPPORT,0,8,0,0,2813,2813,6,1,150,0,0
no tilt they bad,1156,0,Nocturne,56,11,3,1,0,SUPPORT,2,4,0,0,7028,826,6,1,20,0,0
slowqq,1156,0,Ezreal,81,11,6,3,1,SUPPORT,0,9,0,0,4145,2059,6,0,151,0,0
DONATELL0,1156,0,Lucian,236,10,5,5,1,SUPPORT,1,6,0,0,1460,1295,6,0,161,0,0
Mr Poussinet,1156,0,Milio,902,9,4,0,6,SUPPORT,3,17,0,0,308,175,6,0,9,0,0
Rayzorac,2349,0,Renekton,58,18,7,4,8,SOLO,6,8,0,0,7949,1473,11,1,264,0,0
LuvFlakkedCheeks,2349,0,Ezreal,81,18,4,14,10,NONE,5,11,2,0,23406,151,11,0,99,0,0
IWILLC0NQUER,2349,0,Syndra,134,18,4,9,12,SOLO,4,20,0,0,15729,4533,11,2,318,0,0
Kenal,2349,0,Lucian,236,15,13,3,11,CARRY,10,12,0,0,10780,1768,11,0,193,0,0
Chapter 4,2349,0,Nami,267,16,3,4,27,SUPPORT,10,48,0,0,707,109,11,0,36,0,0
ytfdrxz,2349,1,Kennen,85,18,7,7,5,SOLO,6,13,0,0,7440,2589,3,2,257,1,1
Theocacs,2349,1,Kindred,203,18,7,6,6,NONE,7,5,2,1,57850,852,3,2,67,2,0
dajor25,2349,1,Akali,84,18,7,5,7,SOLO,3,13,0,0,6018,2467,3,1,267,1,1
hovinko z kose,2349,1,Vayne,67,18,8,11,8,CARRY,16,12,1,1,46227,14853,3,5,348,2,1
sharynne enjoyer,2349,1,Milio,902,16,5,2,21,SUPPORT,4,50,0,0,1733,573,3,0,28,2,0
Rayzorac,1606,0,Renekton,58,15,4,2,6,SOLO,1,8,0,0,3834,3834,11,2,215,0,0
Kevin Pearson,1606,0,Viego,234,14,10,6,2,NONE,6,9,2,0,27701,0,11,0,27,0,0
IWILLC0NQUER,1606,0,Akali,84,15,7,6,2,CARRY,1,12,0,0,631,121,11,0,220,0,0
gigabean,1606,0,Karthus,30,15,7,2,6,SOLO,5,3,0,0,5233,0,11,0,233,0,0
Chapter 4,1606,0,Nami,267,12,2,0,7,SUPPORT,7,26,0,0,1617,0,11,0,13,0,0
eYa Bewbiou,1606,1,Malphite,54,15,5,1,6,SOLO,1,9,0,0,4570,2381,2,0,159,2,0
LuvFlakkedCheeks,1606,1,Belveth,200,15,2,6,10,NONE,7,5,1,1,34968,3143,2,2,33,3,2
Wesley Warren Jr,1606,1,Ezreal,81,16,3,3,9,SOLO,3,9,0,0,25483,11541,2,5,232,3,1
DRG Louis,1606,1,Syndra,134,15,3,12,7,CARRY,5,13,0,0,8326,4297,2,2,200,1,0
OKTW Kristine,1606,1,Senna,235,13,3,8,13,SUPPORT,10,18,1,0,6915,3980,2,2,28,1,0
mewinnersqueue,1393,0,Aatrox,266,12,8,0,4,SOLO,1,8,0,0,0,0,10,0,144,0,0
NNM034,1393,0,Kindred,203,12,6,8,3,NONE,5,3,1,0,14513,0,10,0,34,0,0
Sägen,1393,0,Swain,50,11,11,0,4,CARRY,2,7,0,0,355,0,10,0,123,0,0
SlNGED,1393,0,Singed,27,12,9,0,9,SOLO,2,7,0,0,4436,0,10,0,115,0,0
Chapter 4,1393,0,Senna,235,11,5,5,4,SUPPORT,6,24,0,0,234,234,10,0,34,0,0
legit thats it,1393,1,Olaf,2,16,1,12,5,SOLO,0,7,0,0,7847,7474,0,2,201,1,1
Seo Yea ji fan,1393,1,Belveth,200,14,5,8,8,NONE,2,6,2,1,46516,1253,0,4,26,0,0
Decay0,1393,1,Ahri,103,15,2,10,3,SOLO,6,13,0,0,7977,5766,0,3,218,0,0
gigabean,1393,1,Karthus,30,13,1,7,12,NONE,1,6,0,0,10381,3551,0,0,156,1,1
Nsurr1,1393,1,Rell,526,11,4,2,19,SOLO,5,25,0,0,2081,722,0,0,25,0,0
Kât l ï Äm,1764,0,Jax,24,15,2,1,4,SOLO,3,7,0,0,3261,1326,10,0,191,0,0
CG Garguentua,1764,0,Vi,254,14,9,1,9,NONE,2,7,0,0,13718,257,10,1,9,0,0
Λlixx,1764,0,Leblanc,7,15,4,6,5,SOLO,10,6,0,0,4837,4247,10,1,231,0,0
gigabean,1764,0,Karthus,30,14,3,3,5,CARRY,1,8,0,0,11823,1148,10,1,233,0,0
Chapter 4,1764,0,Senna,235,12,6,5,8,SUPPORT,10,44,0,0,2082,431,10,0,28,0,0
waterenjoyer123,1764,1,Kennen,85,17,1,5,3,SOLO,5,5,0,0,17661,11327,3,5,289,1,1
NNM034,1764,1,Viego,234,14,2,12,4,NONE,12,4,3,1,47073,2638,3,1,39,0,0
Terold,1764,1,Neeko,518,15,7,1,9,SOLO,4,7,0,0,6260,859,3,0,176,0,0
Inferior AD,1764,1,Aphelios,523,16,1,6,6,CARRY,7,8,1,0,40245,8509,3,4,249,0,0
AluTec 1098,1764,1,TahmKench,223,13,5,0,13,SUPPORT,12,46,0,0,2275,795,3,0,40,0,0
Zueb,1672,1,Aatrox,266,16,1,5,8,NONE,1,6,0,0,14263,3896,3,3,177,1,1
FriendlyNeighbor,1672,1,Kindred,203,15,5,10,8,NONE,7,6,2,1,48613,2534,3,2,25,1,0
Po Gap,1672,1,Azir,268,16,4,7,8,SOLO,5,11,0,0,4050,4050,3,1,247,0,0
gimme resources,1672,1,Aphelios,523,14,8,6,8,CARRY,6,8,1,0,23027,9763,3,4,165,2,1
Chapter 4,1672,1,Milio,902,14,0,0,20,SUPPORT,7,33,0,0,1845,547,3,0,40,1,0
Dreamm,1672,0,Vladimir,8,14,5,2,2,SOLO,1,9,0,0,3663,1766,10,2,188,0,0
Giligan,1672,0,MonkeyKing,62,13,5,4,5,NONE,4,6,1,0,11400,0,10,0,23,0,0
Terold,1672,0,AurelionSol,136,14,5,1,5,SOLO,2,9,0,0,2195,611,10,0,201,0,0
disciplinfreedom,1672,0,Nilah,895,14,9,5,8,CARRY,6,9,0,0,6103,5364,10,2,200,0,0
Kluckadell,1672,0,Senna,235,13,4,6,9,SUPPORT,8,26,0,0,2213,1313,10,1,21,0,0
